X,ISO3,Year,Gini,Gini_SE,Light_Gini,sol,GDP,POP
2545,COL,2010,50,0.7,63.7052327619633,1862476,287018184637.529,45918097
2699,CRI,1990,40.7,0.9,53.571556801844,310137.380946216,15206147661.4354,3095995
2704,CRI,1995,41.6,0.9,47.5756625950749,175881,19842631676.589,3510926
2709,CRI,2000,43.8,0.9,47.5331817610179,196826,24457392097.2728,3925443
2714,CRI,2005,44.4,0.9,46.5913865663179,178513,29539652853.0961,4247841
2719,CRI,2010,45.4,0.8,46.6546076315314,354881,37268635287.0856,4545280
3047,CZE,1990,20.2,0.9,46.4633868888803,1803831.46518311,144131848850.025,10333355
3052,CZE,1995,24,0.8,42.5349415028817,1622295,138633696804.681,10327253
3057,CZE,2000,25.3,0.9,44.8417338041996,1496041,151436073985.836,10255063
3062,CZE,2005,25.8,0.7,42.50106604373,1624169,183582631916.537,10211216
3067,CZE,2010,25.5,0.6,42.6707697606194,2824092,207016402026.364,10474410
3105,DEU,1990,25.9,0.8,39.746080664244,10667320.5098476,2568633883305.68,79433029
3110,DEU,1995,26.7,0.8,40.1567522592209,8231606,2840972414088.64,81678051
3115,DEU,2000,26.7,0.5,40.1709250590171,7569460,3123907846524.82,82211508
3120,DEU,2005,28.2,0.8,39.2775306231039,7269666,3213777436171.33,82469422
3125,DEU,2010,28.7,0.5,40.8592704129845,14084472,3417094562648.95,81776930
3279,DNK,1990,23.8,0.8,39.5497928171774,1113661.29097648,229126567479.986,5140939
3284,DNK,1995,22,0.2,40.5143423600559,1101447,257078363997.635,5233373
3289,DNK,2000,22.6,0.2,37.4200409504685,779304,298220951889.866,5339616
3294,DNK,2005,23.6,0.6,37.4719188451801,695692,318622884652.143,5419432
3299,DNK,2010,25.3,0.4,38.2228944738616,1656992,321995350346.501,5547683
3352,DOM,2005,48.9,1,55.3638662474832,169649,39738946300.8362,9237566
3357,DOM,2010,46.4,1,52.5970566789247,295993,53954579003.5277,9897985
3758,ECU,2005,48.7,1,70.4773089936155,495468,58876285668.9747,13735233
3763,ECU,2010,44.4,0.9,70.0524606164984,890489,69555367000,14934690
3975,ESP,1990,30.6,0.5,57.1731487541455,8822920.57078916,873145236800.253,38867322
3980,ESP,1995,34.2,0.6,55.3713989131656,4830392,940938679382.847,39724050
3985,ESP,2000,33.1,0.7,54.2384010742488,4805059,1149491825238.62,40567864
3990,ESP,2005,31.9,0.7,52.9180102243026,5067297,1358051593216.67,43653155
3995,ESP,2010,33.7,0.5,54.6393858698816,7959500,1431587612302.26,46576897
4043,EST,2000,35.1,0.8,51.4887835856416,232250,14121011168.8073,1396985
4048,EST,2005,33.7,0.7,51.1712474143741,272250,19889757107.0738,1354775
4053,EST,2010,32.4,0.7,44.9004569660249,758389,19490936349.1753,1331475
4265,FIN,1990,21.1,0.6,69.1977735793813,4714029.36273989,167119851165.76,4986431
4270,FIN,1995,22,0.5,72.3716646165961,4168059,163433977903.956,5107790
4275,FIN,2000,24.9,0.4,54.7654183663785,2432905,209379586716.485,5176209
4280,FIN,2005,25.6,0.6,53.3470491369289,3144149,237927555871.426,5246096
4285,FIN,2010,25.7,0.5,51.1346981723403,5728915,247799815768.477,5363352
4381,FRA,1990,29.5,0.8,43.1122546656459,13057408.9518444,1907283793110.36,58512808
4386,FRA,1995,28.5,0.8,41.5863006844138,8174165,2033100143182.82,59541900
4391,FRA,2000,27.9,0.5,42.5513904003163,7987304,2346484133601.43,60912498
4396,FRA,2005,28,0.4,41.5764174737956,7705001,2547190064553.79,63179356
4401,FRA,2010,29.2,0.6,43.3491560105429,13290370,2646837111794.78,65027512
4613,GBR,1990,33.5,0.7,58.5520771238882,17960325.5537793,1638922093507.07,57247586
4618,GBR,1995,34.2,0.6,60.5322097210344,6828729,1775370236677.59,58019030
4623,GBR,2000,34.5,0.7,56.6382198737584,6105510,2076015511800.81,58892514
4628,GBR,2005,33.9,0.6,54.8619583785742,5554589,2385392730300.73,60401206
4633,GBR,2010,33.5,0.5,56.049397855036,8542505,2429680444512.61,62766365
4691,GEO,2010,42.3,0.8,56.511185242326,193288,11638536834.4274,3926000
5082,GRC,1995,34.8,0.8,51.670675009802,914139,210287497825.875,10562153
5087,GRC,2000,33.6,0.7,49.3201432865108,986315,251509982285.871,10805808
5092,GRC,2005,32.7,0.7,49.2044698939752,1069412,304332233457.662,10987314
5097,GRC,2010,32.9,0.7,49.6115350450691,1677768,299361576558.217,11121341
5266,GTM,2005,45.9,1,60.8324723504593,202276,34551125869.8223,13096028
5546,HND,1995,50.3,1,71.0932227809263,102532,9102265883.78003,5709051
5556,HND,2005,53.2,1,60.7094650924797,150214,13268415996.7103,7373430
5561,HND,2010,50.2,1,57.9268085935378,285429,15839344591.9842,8194778
5778,HUN,1995,28.8,1,45.8342675478358,1015701,92063122539.4636,10328965
5783,HUN,2000,28.9,1,39.7832291786372,927351,106600567997.339,10210971
5788,HUN,2005,28.5,0.8,37.5026815103274,896184,131562426763.113,10087065
5793,HUN,2010,28.1,0.9,37.1247171434972,1316868,130255637530.908,10000023
6252,IND,2005,47.1,0.8,47.588613753813,10465700,1111202106006.44,1144118674
6257,IND,2010,48,0.8,46.9742892720086,22043021,1656617073124.71,1230980691
6358,IRL,1995,32.8,0.8,27.7334392324985,604531,103617890026.041,3608841
6363,IRL,2000,31.6,1,35.6843008973049,728868,165094200380.374,3805174
6368,IRL,2005,30.5,0.8,32.4717140630214,753242,216320645505.354,4159914
6373,IRL,2010,29.9,0.6,32.9429015620601,1481956,221343483668.837,4560155
6411,IRN,1990,44.4,0.9,64.4604932022397,7936058.40354381,205513632859.481,56226185
6416,IRN,1995,43.7,0.9,64.281576175511,4306944,237327527424.692,60575644
6421,IRN,2000,43.9,0.9,60.8923863149941,4359312,281927925364.048,66131854
6426,IRN,2005,42.5,0.9,61.4512072638618,5490728,368530410531.603,70421811
6532,ISL,1995,20.4,1,69.1507966381039,132546,8071662422.80211,267468
6537,ISL,2000,22.7,1,60.9274968941663,131969,10295109615.8728,281205
6542,ISL,2005,25.8,0.8,57.6617262835256,182308,12671012622.6807,296734
6547,ISL,2010,24.9,0.7,56.353663765295,267249,13254818331.1893,318041
6585,ISR,1990,31.3,1,72.6401779367183,1541688.34759661,95386739522.1581,4660000
