State,year,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,LSAD,ALAND,AWATER,variable,light_gini,top_10_sh,Gini,Top10_adj,Top5_adj,Top1_adj,top_5_sh,top_1_sh
Georgia,1995,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_1995,0.437483350943015,34.3062843201279,0.564411819,40.98299026,29.03633308,13.86498356,23.0573632060344,8.40605522105915
Georgia,2000,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2000,0.558773156195325,42.8704432483012,0.587977648,44.35005951,33.12284851,17.80355835,30.2257093969708,13.3372708542637
Georgia,2005,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2005,0.556690432513928,43.0206541794334,0.616744637,45.51335907,34.23711014,19.11416817,30.4112350589449,13.8225247138907
Georgia,2010,13,01705317,0400000US13,13,GA,00,149482048342,4422936154,lpp_2010,0.573538511766447,43.8096252894524,0.632009983,47.18330383,33.04154205,16.41736984,30.5692707880734,12.9841423824551
Hawaii,1990,15,01779782,0400000US15,15,HI,00,16633990195,11777809026,lpp_1990,0.69934656533037,58.5906360033176,0.572948098,36.55383682,25.92072487,13.67830849,43.3409001359436,23.3439518273063
Hawaii,1995,15,01779782,0400000US15,15,HI,00,16633990195,11777809026,lpp_1995,0.659560954181002,53.5761898070624,0.532553196,32.59272003,21.61955833,9.016799927,39.104786503875,20.0162734023707
Hawaii,2000,15,01779782,0400000US15,15,HI,00,16633990195,11777809026,lpp_2000,0.774289174564899,65.6441380618493,0.563607872,37.07738113,26.30667496,13.19595528,52.1975274827564,24.9609091368054
Hawaii,2005,15,01779782,0400000US15,15,HI,00,16633990195,11777809026,lpp_2005,0.791307305371534,68.5875045878737,0.576738417,40.71848297,29.95338249,16.46945763,55.1200010490769,25.6467722335293
Hawaii,2010,15,01779782,0400000US15,15,HI,00,16633990195,11777809026,lpp_2010,0.787396050200518,67.0803944469614,0.564963937,34.96137619,23.77055168,11.28796864,52.7710853587881,23.9387806884743
Idaho,1990,16,01779783,0400000US16,16,ID,00,214049787659,2391722557,lpp_1990,0.714536756929627,59.4072628123452,0.569997072,35.67166138,23.56877899,11.17511177,44.593000641768,19.2768082449665
Idaho,1995,16,01779783,0400000US16,16,ID,00,214049787659,2391722557,lpp_1995,0.752886688613552,64.2901912999921,0.562856674,36.95002747,26.17607117,12.1575098,47.55037876626,20.7819592050812
Idaho,2000,16,01779783,0400000US16,16,ID,00,214049787659,2391722557,lpp_2000,0.504940896550259,36.3361619729219,0.588901639,41.85321045,31.37616348,17.52750778,24.7903888198809,9.69782927079116
Idaho,2005,16,01779783,0400000US16,16,ID,00,214049787659,2391722557,lpp_2005,0.502443289346177,35.999493384632,0.629484296,41.78482819,31.9122982,18.07865143,24.6208707107268,9.99018161893925
Idaho,2010,16,01779783,0400000US16,16,ID,00,214049787659,2391722557,lpp_2010,0.511455057230272,35.7535639705903,0.629141212,40.22665405,28.01345634,13.92567062,23.5700293742673,8.72432852610144
Illinois,1990,17,01779784,0400000US17,17,IL,00,143780567633,6214824948,lpp_1990,0.372263321047956,26.6009083720655,0.571380556,39.89738846,28.59898758,15.04212189,16.5895394610859,5.27484461517197
Illinois,1995,17,01779784,0400000US17,17,IL,00,143780567633,6214824948,lpp_1995,0.370131068942947,27.2740388139469,0.573896766,43.12743759,31.33892441,16.23145866,17.1987489527409,5.54531923834186
Illinois,2000,17,01779784,0400000US17,17,IL,00,143780567633,6214824948,lpp_2000,0.509001009575687,36.7139257367687,0.604523599,47.41947556,36.47216415,21.20832443,24.6666951324426,8.80502634506822
Illinois,2005,17,01779784,0400000US17,17,IL,00,143780567633,6214824948,lpp_2005,0.534615077248227,40.1722471674286,0.599004865,47.52693939,36.95042038,21.67287827,28.4895201175977,11.8167111889996
Illinois,2010,17,01779784,0400000US17,17,IL,00,143780567633,6214824948,lpp_2010,0.501407573757846,35.5836083232363,0.620458305,48.2855072,36.61826706,20.44235992,23.6622483050549,8.28442510074728
Indiana,1990,18,00448508,0400000US18,18,IN,00,92789302676,1538002829,lpp_1990,0.343187243893999,26.5820916736072,0.546787858,36.48445511,24.3696022,11.43645,16.854499372989,5.60504336165022
Indiana,1995,18,00448508,0400000US18,18,IN,00,92789302676,1538002829,lpp_1995,0.322214400192317,25.527266835536,0.538652837,38.48873138,26.68666077,12.42016888,16.1872274404137,5.5328288959265
Indiana,2000,18,00448508,0400000US18,18,IN,00,92789302676,1538002829,lpp_2000,0.516841536156529,38.6953825460897,0.550101459,38.70571899,27.89537621,14.43924141,26.3140081699023,10.2697822992307
